oby,5,bad,remove
v8l,10,good,relisten
zzj,10,good,relisten
log,10,good,relisten
v70,10,good,relisten
50x,10,good,relisten
500,10,good,relisten
md6,10,good,relisten
20t,10,good,relisten
5oo,10,good,relisten
mhz,10,good,relisten
